瞓觉为真	睡觉才是
衫纽	衣扣
线步好密	针脚很密。
呢只鞋甩咗线步	这只鞋开绽了。
细只	个儿小
细仔	最小的男孩。
大个唔好虾细个，细个又唔好虾大个	年纪大的不要欺负年纪小的，年纪小的也不要欺负年纪大的。
细个仔嗰阵	小时候; 童年时代。
你细佬几大喇	你弟弟多大? 
细佬，噉搞唔得㗎	老弟，这样搞可不行啊! 
细佬失礼晒，多多原谅	兄弟我失礼了，请多包涵。
呢个细佬哥好叻	这个小朋友真棒。
佢有两个细佬哥	他有两个小孩。
咁大个人嘞，重好似细佬哥头噉	年纪那么大的人了，还像小孩子似的。
佢系细佬哥头嚟㗎	他是个愣小子。
我要最细只嗰只	我要最小的那只
只只都咁细只嘅	每只都那么小的
强仔生得好细只	小强长的个子很小。
我两个细妹都读紧中学	我的两个妹妹都在上中学。
佢好细时跳皮	他小的时候很淘气。
呢个仔生得好细粒	这孩子长得个子很小。
你重系细细个，好好读书	你还是很小，好好读书。
佢唔算细胆	他不算胆小。
幼儿园嘅细蚊仔真得意	幼儿园的娃娃真逗人。
 你有几个细蚊仔	你有几个孩子? 
好似猫咁细食	像猫那样吃得少。
佢好细𩠌㗎	他吃菜吃得很少。
织布	织布。
织席	编席子
织箩	编箩筐。
织冷衫	打毛衣。
你终之系嚟喇	你到底还是来了。
只要坚持试验，终须会成功嘅	只要坚持试验，终归会成功的
“终须有日龙穿凤” 	熟语。意思是终归会有出头之日或终归会有好日子。
绑行李	捆行李
绑鞋带	系鞋带
绑实啲	系紧一点。
绒裤	呢子裤
绒衫	呢子上衣
着绒褛	穿料子大衣。
用条绳再络住就稳阵喇	用一根绳子从下面兜着就稳了。
你唔使怕，络住屎窟吊颈你重怕乜吖	你不用害怕，这是最保险的了。
噉做未免绝情啲	这样做未免有点不够朋友。
续番条冷	把毛线接上。
冇散纸续	没有零钱找。
赶绵羊	拿棉被去当押
绷蚊帐	挂蚊帐
绷一条绳晒衫	拉一根绳子晒衣服
风吹到块面绷绷紧	风把脸吹得绷绷紧。
呢个月使用绷绷紧	这个月钱勉强够用
呢啲稿费买个雪柜绷绷紧啦	这些稿费勉强买个电冰箱。
瞓觉咪缩埋一嚿	睡觉别缩作一团
痛得佢缩埋一嚿	痛得他缩作一团。
吓到佢缩埋一字角	吓得他缩在一个角落里。
缩开啲，唔好阻路	躲开点，不要挡道。
咪谂埋咁多缩数	不要打那么多小算盘。
嗰只布好缩水	那种布下水后抽得厉害。
碰到困难，千祈唔好缩沙	碰到困难，千万不要退缩。
绑一个缬	打一个结。
蔗缬	甘蔗节
煲一罉饭	焖一锅饭
瓦罉	沙锅。
攞嗰个网嚟网住啲嘢	拿那张网子把这些东西罩上
攞窟布网住嗰个石膏像	拿块布来把石膏像蒙上。
猪膏网	猪网膜; 猪肠油。
我话唔系罗	我说当然不是
坐车好罗	当然是坐车好了
唔识做就学罗	不会干就学呗。
要说服佢真罗气	要说服他真费劲。
呢个烂盆掉咗佢罢啦	这个破盆子把它扔了算了
叫埋佢去罢啦	连他也叫去算了。
唔要就罢就	不要就算了
冇人嚟就罢就	没有人来就拉倒。
攞湿手巾罨额头	拿湿毛巾敷前额。
摊开啲菜，唔系会罨烂㗎	把菜摊开，要不就捂烂了
除低件湿衫啦，罨住容易病㗎	脱掉湿衣服吧，捂着容易生病的。
罨芽菜	发豆芽儿。
呢堆禾秆太罨汁，要打开晒下佢	这堆稻草太潮湿，要打开晒一晒。
呢个房间好罨汁	这间屋子又窄又不整洁。
呢间屋咁罨耷，点住呀	这房子那么窄小，怎么住呢。
肉片攞油罩过至炒	肉片过一过油再炒
罩花生	油炸花生。
最近搬屋，置咗一套家私	最近搬家，买了一套家具。
有人话置业难过置家	有人说立业比成家还难。
佢都三十几喇，为乜重未置家呀	他都三十好几了，为什么还没成家呢?
羊咩咁乖	像绵羊那么乖。
咁大个重着开裆裤，真羞家	这么大的孩子还穿开裆裤，真羞!
咪群埋啲烂仔玩	别跟那些小流氓鬼混
群埋晒嗰啲人冇益嘅	结交那些人是没有好处的。
翕手叫佢嚟	招手喊他来。
翕眼佢就走咗	眨眼他就走了。
樖树将窗口遮翳晒	那棵树把窗子挡暗了
咁翳，想落雨咯	天那么昏暗，快下雨了。
我心好翳	我心里很烦闷。
畀佢翳到我吖	他把我气得( 真够受) 。
咪翳气咯，想开啲啦	别气了，想开点吧。
食埋咁多垃杂嘢，梗翳滞啦	吃了那么多的零食，胃口当然不好了。
热天想作雨，特别翳闷	夏天将要下雨时，特别闷热。
心口好翳闷	胸膛觉得很堵。
翻屋企	回家
佢翻咗公司	他回公司去了。
攞翻去	拿回去。
叫佢翻嚟	叫他回来
佢有翻天嘅本事又点吖	就算他有天大的本事又怎么样!
包你食过翻寻味	保证你吃过要回头再吃。
几点钟翻扯	几点回去?
翻渣第二次	再煎第二次。
死咗又翻生	死了又复活。
你翻转头想下	你回头想一想
谂翻转头就谂通喇	回头想一想就想通了。
呢把秤好老，人哋一斤佢至得九两	这杆秤大，人家一斤它才九两。
你两个真老友	你们俩真友好
你噉对佢唔够老友啩	你这样对他不够朋友吧?
我两个系老友兼死党，绝对唔成问题	我们两个是铁哥们，绝对不成问题。
老友鬼鬼，有乜两句呀	老朋友了，好说好说
佢两个老友鬼鬼，实好合作	他俩是老朋友，一定合作得很好。
呢件衫太老土喇	这件衣裳太土气了。
我呢个老坑婆冇用咯，乜都唔识	我这个老太婆没有用了，什么都不懂。
咁老大唔想去玩	年纪那么大不想去玩了。
都九十几岁嘅老大咯，重去玩乜吖	都九十几岁的老人家了，还去玩什么呢。
佢好老定㗎	他很镇定
你要老定啲	你要冷静一些。
呢件衫好老实	这件衣服朴素大方。
“老朋兼死党”	俗语。比喻十分要好的朋友
佢好老水㗎	他干事情很老练、沉着。
老积仔	举动言谈老成的少年
睇佢咁老积唔似七岁仔	看他这么老成不像七岁的孩子。
佢系老细，你系经理	他是老板，你是经理
陈先生系兴隆公司嘅老细	陈先生是兴隆公司的老板。
佢嘅老脾唔系几好	他的脾气不怎么好。
话嗻，其实系想老虎借猪	说是这样，其实是想借而不还。
老虎蟹都唔怕	天塌下来也不怕
老虎蟹都要去	无论如何也要去
呢次唔畀我去，老虎蟹都假	这次不让我去，说什么也不行!
佢两个系两老表嚟㗎	他们俩是表兄弟( 姐妹) 
佢系我嘅老表	他是我的表亲。
真老衬，直路唔行行弯路	真傻瓜，直道不走走弯道
噉做老衬喇	这么干笨了。
呢只瓜老身啲，可以做种	这个瓜老一点可以做种。
开车行呢条路真系考师傅嘞	开车走这条路可难倒人了。
呢个问题真畀你考起咯	这个问题真给你考住了。
而家唔同旧时咯	现在跟过去不同了。
佢日日去武馆耍功夫	他天天去武馆练武功
佢耍功夫好叻嘅	他打拳打得很好。
你唔同意就罢啦，使乜同我耍太极呢	你不同意也就罢了，何必用软拖的办法来对我呢!
佢唱歌好耍得	她唱歌很了得
佢支笔好耍得	他的笔很了得( 他很能写文章) 
你叫佢做乜都耍手兼拧头	你叫他做什么都坚决不干。
人哋两公婆耍花枪，你咪多管闲事	人家两夫妇开玩笑，你别多管闲事。
一年咁耐	一年那么久
冇几耐	没多久
好耐唔见	好长时间没见面。
耐不耐睇次戏	时不时看一次戏
佢耐不耐都会嚟封信	他时不时都会来一封信。
佢耐唔中嚟下	他偶尔来一次。
我耐耐都会去睇下佢嘅	我偶尔也会去看看他的。
食咗几件肥肉就好耨喇	吃了几块肥肉就很腻了
甜到耨	甜到发腻。
做嘢咪咁耨	干活别那么慢。
呢停饼食两个就耨喉咯	这种饼吃两块就腻透了。
呢排白菜好耨市	近来白菜很滞销
呢只货质量咁差，肯定耨市啦	这种货物质量这么差，肯定滞销了。
藤喼耳	藤箱提手
茶壶耳	茶壶把。
呢碟菜食到佢耳仔喐呀	这碟菜他吃得真带劲。
耳匦响	耳鸣
耳匦痛	耳内疼。
耳性唔好	记性不好
冇耳性	没有记性。
佢耳骨硬，唔肯听人讲	他比较固执，不愿意听人家的意见。
耷低头	耷拉着脑袋
嗰只狗耷住条尾	那只狗耷拉着尾巴
眼瞓到眼皮都耷咗落嚟	困得眼皮都垂了下来。
受到一啲啲挫折就变成一只耷头鸡噉	受到一点点挫折就变得垂头丧气了。
畀咁少过人哋，太耷湿喇	给人家那么少，太寒碜了
呢间公司门面咁窄，有啲耷湿	这家公司门面这么窄，有点简陋。
联衫	缝衣服。
信肉	信封里面的信
枕头肉	枕心儿。
我最中意嘅呢件衫烧穿咗个窿，好肉痛㗎	我最喜欢的这件上衣烧了一个洞，是很心疼的。
使乜咁肉紧	用不着那么紧张
佢呢几日好肉紧	他这几天心情很烦躁
睇见佢咁唔生性，真肉紧	看他这样不懂事，真叫人干着急
咁肉紧佢做乜呀	这样为他焦急干什么?
呢个相影得太肉酸	这张照片照得太难看。
佢𡁶得我鬼咁肉酸	他胳肢得我怪痒痒的。
琴晚食多咗，今日肚腍	昨夜吃多了，今天肚子不舒服。
佢两三句话就使到大家笑到肚赤	他两三句话就使得大家笑到肚子疼。
我好肚饿	我的肚子很饿了。
你好有肠肚	你很有头脑。
肥仔	胖小子。
呢只碗装过油，太肥喇	这个碗盛过油，太油腻了。
呢次考试肥佬	这次考试不及格
佢考车牌又肥咗佬	他考驾驶执照又不及格。
咁肥尸大只，一百斤都担唔喐	个子这么大，一百斤还挑不动?
嗰个佬肥揗揗噉，好论尽	那个人胖乎乎的，笨手笨脚。
啲猪肉肥揗揗，唔好食	猪肉肥肥的，不好吃。
细蚊仔个肚胀卜卜，唔知系唔系生癪	小孩的肚子胀得凸起来，不知是不是生疳积病?
呢个袋挣到胀泵泵噉	这个口袋撑得胀鼓鼓的。
老李胆正命平，边个做事唔啱都敢批评	老李一身正气，谁做错了事都敢于批评。
我屋企喺学校背后	我家在学校后面。
门背后有眼钉	门背面有一口钉子。
你唔好喺背后讲人哋	你不要背地里议论人家。
佢收咗背手	他接受了贿赂。
坐喺呢度写字有啲背手影	坐在这里写字有点背光。
呢度太背角， 人嚟得少	这里太偏僻了，人来得少。
呢班细路喺度胡天胡帝，搞得大家都唔安宁	这些小孩在这里乱打乱闹，弄得大家都不安宁。
呢个人胡须勒特，真肉酸	这个人满脸胡子，真难看。
落脚踹	用脚踩。
佢只脚好长，条裤要三尺半至够	他的腿很长，裤子要三尺五长才够
台脚	桌子腿。
唔够脚	人手不够
差一个脚	差一个人。
卖剩脚唔值钱	卖剩的残货不值钱。
打出脚骨	露出小腿
佢脚骨好使得，一日行七八十里路重好平常	他的腿杆子很棒，一天走七八十里路还很平常。
同细蚊仔做脱衫	给小孩做一身衣服。
讲嘢脷𦧲𦧲，听唔明	说话不清楚，听不明白。
呢几日脾胃唔好	这几天肠胃不好。
佢脾胃系差啲嘅	他脾气确实差些。
佢唔算腌尖	他不算挑剔
佢买嘢好腌尖嘅	他买东西很爱挑剔的。
豆腐咁腍	豆腐那样软。
牛肉炊得好腍	牛肉炖得很烂。
佢咁腍善，人人都中意佢	他那么和蔼善良，人人都喜欢他。
呢条路腍嚊嚊，车唔行得	这路软绵绵的，车走不了。
一𫗉腥曷𡃴	一股腥臭味儿
只狗腥曷到死	那只狗腥臭得要命。
做人咪咁腥闷至得	做人别那么讨人嫌才行。
捉过鱼只手腥鰛鰛	捉过鱼的手腥腥的。
掬起泡腮	鼓起腮帮子。
佢系有腰骨嘅人	他是有骨气的人
冇腰骨	没有骨气。
瞓唔够，眼有啲膇	睡不够，眼睛有点儿膀
你个面有啲膇膇地	你的脸有点儿膀。
腊肉放得耐就会膉	腊肉放得久了就会有哈喇味儿。
呢只鸡好多膏	这只鸡油很多。
佢啱啱臊咗一个仔	她刚生了一个男孩。
羊肉鬼咁臊	羊肉膻极了
“ 哋都系羊肉” 	熟语。羊肉虽然膻，但终究它还是羊肉———比喻某些事物乍看起来不怎么样，但它是有分量、有水平的
你咪去自	你先别去
咪行自	先别走
而家唔讲自	现在暂时不说
未得自	还不行。
自乜来由佢会噉做	什么原因会让他这样做?
后生仔唔好贪自在	年轻人不要贪舒服。
都三十岁咯，应该自揾自食喇	都三十岁了，应该自己独立生活了。
老人家食得做得，都好自然	老人家能吃能做，没有病痛。
佢自细就中意读书	他从小就喜爱读书。
细蚊仔自自然然就学会	小孩子自然而然就会学会。
我参观完呢个展览，觉得我哋冇人哋嘅好，应该自认低威嘞	我参观完这个展览，觉得我们没人家的好，应该甘拜下风了。
嗰间房臭亨亨噉，唔知几邋遢	那个房间臭烘烘的，不知有多脏。
呢啲腊肉都臭油膉喇，唔好食咯	这些腊肉都哈喇味了，别吃了。
劏过鱼，只手一朕臭腥	杀过鱼，手一股腥臭味儿。
臭青𡃴	臭青味
呢碟青菜未熟，重臭青	这盘青菜没有煮熟，还有股臭青味。
噉至得㗎	这样才行
冲完凉至睇戏	洗完澡才看戏
佢讲完你至讲	他说完了你再说
洗干净至食	洗干净了再吃。
至难搞系呢个问题喇	最难办是这个问题了
至嘈就系嗰个市场喇	最吵闹就是那个市场了。
至到过年嘅时候	到过年的时候
至到我走，佢都重未嚟	直到我走的时候，他还没有来。
至到嗰层你就唔使忧嘅	至于那一点你就不用担心。
使乜噉吖，至多我唔要就系啦	何必这样呢，大不了我不要就是了。
至多唔系呢次唔去	大不了这次不去
至多唔系赔番畀佢	大不了赔给他。
要落足工夫至好	要下足工夫才好。
至好噉做	最好这样做。
你出面至得呀	你出面才行。
舂咗佢一拳	杵了他拳。
乱咁舂	乱闯。
成个人舂落去	整个人坠下去
敌机舂咗落嚟	敌机栽了下来。
醉酒佬行路似舂瘟鸡噉	醉汉走路像瘟鸡那样。
做嘢唔得舂瘟鸡噉㗎	干工作不能瞎搞一气。
唔好企得咁舋	别站得太靠边儿了
嗰个杯放得太舋会跌落地	那个杯子放得太靠边儿会掉下来。
五文鸡买咁多嘢好舋㗎	五块钱买那么多东西是很紧的
六尺布做一条裤有啲舋	六尺布做一条裤子有点儿勉强
限三日完成工程，太舋喇啩	限三天完成工程，太紧了吧?
我住喺舋尾嗰度	我住在最尽头那里。
呢啲木料整个柜，舋水啲	这些木料做一个柜子，勉强一些。
差一分钟开车你至赶到，咁舋秒	差一分钟开车你才赶到，真紧张。
预算可以略略宽一啲，唔好咁舋莫	预算可以稍微宽点，不要太紧。
咁多事，够得舞咯	事情这么多，够弄的了
舞咗成朝至舞掂	干了一个早上才干完。
呢单嘢任得佢去舞	这件事随他鼓捣去。
扒艇	划船。
肇省艔	肇庆到广州的“艔船”
 有过海吗	有渡船过河吗? 
冬天瞓席好艮肉	冬天睡席子挺冰凉的。
你中意乜嘢色水	你喜欢什么颜色?
我初初以为好好，原来咁芒嘅	我最初以为很好，原来那么差劲的
好芒嘅咋	很差劲的。
攻鼻芥辣	钻鼻子的芥末。
佢讲嘅都系实话，冇乜花假嘅	他说的都是实话，没有什么虚假的地方
呢啲嘢好花假嘅	这些东西真是徒有其表。
幅画画得花哩碌，一啲都唔好睇	这幅画画得花里胡哨的，一点儿也不好看。
睇佢花花咈噉，怕唔系几踏实	看他那轻浮的样子，恐怕不怎么踏实。
睇你个面，成只花面猫噉	看你的脸，就像一只花脸猫似的。
好机会唔好错过，苏州过后冇艇搭㗎	好机会不要错过了，过了这个村就没有这个店了。
嗰啲茶苦刁刁嘅	那些汤药苦得很。
睇佢担心到成日苦口苦面	看他担心得整天耷拉着脸。
唔好成日苦瓜干噉嘅面	不要整天愁眉苦脸的。
屋漏更兼连夜雨，真系苦过弟弟咯	破房子加上连夜雨，真是苦得很啊!
乜你咁茂㗎	怎么你那么荒谬的?
马蹄放到茑晒	荸荠放得皮都蔫了
啲菜几日冇淋水都茑晒咯	那些菜几天没有浇水都蔫了。
焗茶	沏茶。
饮啖茶	喝一口开水
斟杯茶	倒一杯开水。
煲茶	煎药
一剂茶	一服中药
饮苦茶	喝苦药。
荐台脚	垫桌腿
荐高啲枕头	把枕头垫高一点
一荚芥菜	一张芥菜叶子。
出街荡一阵	上街遛一会儿
唔识路就乱荡	不认得路就乱逛。
荡平啲	抹平一点
行行下就荡失路	走着走着就迷了路。
菜薳牛	炒菜苔牛肉。
生萝卜	长冻疮
萝卜好痕	冻疮很痒。
落本	下本钱
呢包行李放落你度先	这包行李放( 下) 在你这里。
落船	上船。
落便都系啲临时搭嘅茅寮	下面都是些临时搭盖的茅屋
冇嘢落剩	没有剩下东西
我哋人咁多，几多嘢都冇落剩	我们人那么多，有多少东西都没法剩下。
落力拍演	认真地合作表演。
呢本书点样落名呀	这本书怎样署名?
做完戏就即刻落妆	演完戏就马上卸装。
你要做鞋就要先落定至得	你要做鞋就得先给定钱。
病到落形	病得消瘦极了。
佢乜嘢都落手落脚做嘅	什么事他都亲自动手做。
你落楼睇下有冇信	你下楼看看有没有信?
啱食饱饭都未落膈，咪走啦	刚吃完饭还没休息够，别跑!
五点落船，六点开身	五点上船，六点开船。
佢高咗，条裤要落贴咯	他长高了，裤子要上贴边了。
呢煲汤盐落足未呀	这锅汤下够盐没有?
落雨丝湿，边处都唔想去	下雨到处湿淋淋的，哪儿都不想去。
真系落面喇	真丢脸了
咪落我嘅面啦	别丢我的脸了。
咪信佢啲葫芦嘢	别相信他吹牛。
蒙蒙光就起身	天蒙蒙亮就起床。
舂到佢蓉晒	把它舂得稀巴烂。
将本书整到蓉蓉烂烂，点睇吖	把书弄得破破烂烂，怎么看呢!
牛筋咁蔫韧	像牛筋那么韧。
一蔸禾	一丛水稻。
嗰蔸友真衰	那条汉子真糟糕。
蔼臊虾仔	哄婴儿。
呢只布好薄削	这种布很薄。
一话就喊，咁个薄皮㖞	一说就哭，那么小心眼儿的!
薄绒裤	料子裤。
呢种纸薄身啲	这种纸薄了一点。
佢一啲都唔薯	他一点儿也不笨。
佢好薯头㗎	他是很笨的。
菜薳	嫩菜苔。
白切肉蘸豉油	白切肉蘸酱油
唔好虾佢	不要欺负他。
一只虾公	一只虾。
你畀人虾到上面咯，都唔敢出声	你都被人家欺负到这个份上了，还不敢作声。
大鱼食细鱼，细鱼食虾毛	大鱼吃小鱼，小鱼吃小虾( 俗语) 。
成日虾霸人哋太曳咯	整天欺负人家太坏了。
唔准你咁虾霸	不准你那样横行霸道! 
呢个仔太虾霸喇	这孩子太欺负人了。
一斤蚀咗二两	一斤亏损了二两
蚀晒喇	全亏损了
刀用得耐就蚀	刀用久了就磨损
鞋踭蚀晒喇	鞋跟全磨平了。
为大众做事唔好怕蚀底	为大家服务不要怕吃亏
一个换一个唔会蚀底	一个换一个不会吃亏。
蚀晒大本	亏了大本。
你行路蚁躝噉，肯定赶唔切	你走路像蚂蚁爬，肯定赶不上。
而家至嚟，蚊瞓喇	现在才来，太晚了。
你同佢比，真系蚊髀共牛髀咯	你跟他比，真是小巫见大巫了。
应该积极工作，咪咁蛇	应该积极工作，别那么懒。
佢正一蛇王嚟㗎	他真是个懒人。
你噉做蛇都死啦	你这么做，什么都完了。
等得你嚟蛇都死喇	等得你来太晚了。
呢几个都系蛇鼠一窝	这几个都是一丘之貉。
嗰条友太蛊惑喇，因住上佢当	那个家伙太诡计多端了，当心上他的当。
靠蛮力做唔得	靠蛮力干不行。
刻蜡板	刻写蜡纸
蜡板生咗鍟	钢板长了锈。
瘦到只蜢噉	瘦弱得像一只蚱蜢一样。
你今日血色几好	你今天的气色相当好。
一日行几远路	一天走多远路? 
行埋嚟	走近这儿来
佢行头	他走在前头
出去行下	出去走走。
行啦，冇人同你讲	走吧，没人跟你说
行啦你	去你的吧。
唔好同佢行呀	不要跟他来往。
呢间房行得三张床	这个房间能摆三张床
朝行晚拆	晚上铺床，早上拆掉———应作“晚〜朝拆”，但习惯上说颠倒了。
你冇事干唔好喺度行出行入啦	你没事别在这里进进出出的。
我只脚癐咯，行唔起 	我的腿累了，走不动。
叫佢行埋我度	叫他过我这里来。
我唔识路，行咗个大运咯	我不认得路，转了个大圈子了。
你系做乜行头㗎	你是干什么行业的?
佢系粤剧嘅行尊	他是粤剧界的权威。
你见到我个仔有乜行差踏错，就直程话佢，唔使客气呀	你见到我的儿子做了什么错事就直接说他，不必客气。
行开啲	离开一点
唔行得开	离不开
佢啱行开	他刚离开。
你间铺头行开行埋都要有人睇住	你的商店来来去去的都得有人盯着。
佢两个好行得埋	他俩很合得来
唔行得埋	合不来。
而家着西装好行时	现在穿西服很流行。
呢位中医好行时噃	这位中医很吃得开呀。
有冇行档呀	有没有希望? 
冇晒行档	完全没有希望。
呢条河行船吗	这条河通船吗?
成日行行企企，有乜出息	整天无所事事，有什么出息!
行路定坐车	步行还是坐车?
真奇怪，行转背就唔见人	真奇怪，刚一转身就不见人了。
出街口等佢	到路口去等他。
呢度好近街市	这里离菜市场很近。
呢件事街知巷闻啦，边个唔知到	这件事家喻户晓了，谁不知道呢?
擝衡条绳	把绳子拉紧。
单车咪泵得太衡	自行车打气不要打得太鼓
呢个篮球唔够衡	这个篮球不够胀。
个辘转得好衡	车轮转得很快。
咪催衡晒	别老催着人
逼衡晒	紧紧地逼着
佢成日车衡晒，你听佢讲	他整天尽吹牛，你信他的!
呢件衫有两窟补厣	这件衣服有两块补丁。
呢次争住先，下次补数	这次先欠着，下次补。
着衫	穿衣裳
钉衫纽	钉衣扣。
车衫	用缝纫机做衣服
联一脱衫	做一套衣服。
联衫脚	缝下摆。
噉就要靠大家嚟衬咯	这就要靠大家来陪衬了。
真衰， 又打烂咗	真倒霉，又打破了
衰晒，唔见咗锁匙	糟糕透了，钥匙不见了。
衰鬼	缺德鬼; 讨厌鬼
边个咁衰，整到呢度咁污糟	谁那么讨厌，弄得这里那么脏! 
衰得你咁交关	你下贱得这么厉害。
行开啲啦，咁衰	走开点，这么讨厌! 
买埋啲衰嘢	尽买些破烂东西。
我从来冇衰过	我从来没有落后过
呢次唔衰得㗎	这次是不能失败的
最后衰咗	最后黄了。
呢个人衰到加零一	这个人坏透了。
呢排衰到贴地	这阵子倒霉透了。
呢个人衰到贴地	这个人坏透了。
唔好做埋咁多衰嘢	别做那么多缺德事。
你衰多口，因住得罪人	你爱嚼舌头，当心得罪人。
睇佢嘅衰样唔慌发达	看他倒霉的样子准不会发达。
我睇佢唔会咁衰格啩	我看他不至于那么缺德吧。
衰衰哋佢都系你大佬，唔得唔理佢	不管怎么说他也是你的哥哥，不能不理睬他。
咪啦，衰衰噉	别这样，讨厌
行开啲啦，衰衰噉	走开，( 你) 真坏!
个衰鬼唔知去咗边度	那坏家伙不知去了什么地方
行快啲啦，衰鬼	走快点吧，讨厌鬼
个衰鬼好乞人憎	那缺德鬼很叫人讨厌。
塑胶袋	塑料袋
工厂又发乜又发物，大家袋袋平安	工厂又发这个又发那个，大家照收不误。
贡入被窦	钻进被窝里。
花樽有条裂	花瓶上有一道裂纹。
装唔落	盛不下
装住嘢	装着东西。
装山猪	诱捕野猪。
唔好装假狗呃人	别弄虚作假骗人。
因住人哋害装弹弓你	当心人家设圈套害你。
唔使装起个跭噉同人嘈	用不着摆起架势跟人家吵。
你哋几个为乜走到裙拉裤甩噉呀	你们几个为什么跑得这么狼狈。
绒褛	呢大衣。
一架车褦一个拖斗	一辆车带一个拖斗
买个电筒褦两嚿电池	买一支手电筒配( 带上) 两节电池。
褪后啲	退后一点。
你张凳褪过去一啲	你的凳子挪过去一点。
都未开始就想褪舦㖞 	还没有开始就居然打起退堂鼓了。
呢个窗向西，下昼西斜	这个窗户朝西，下午西晒。
呢间房有西斜热	这屋子有西晒。
一脱西装	一套西服。
佢要面你就畀面佢	他要面子你就给他面子。
呢两日见点呀	这两天觉得怎样了? 
见好啲咯	觉得好一点了。
呢度啲嘢平，钱好见使	这里东西便宜，钱很耐花。
一剂就包你见功	一服就保证你见效。
佢早就见周公咯	他早就睡了。
我重未有长远计划，见步行步啦	我还没有长远计划，见一步走一步吧。
佢笑到见牙唔见眼噉	他笑得合不拢嘴了。
捐款起码要见红啦	捐款起码要上百元啦。
呢啲规例大家要遵守	这些例规大家要遵守。
规矩系噉㗎喇，你有意见可以提	老规矩就是这样，你有意见可以提。
呢件事点处理要视乎你嘅态度	这件事怎么处理要看你的态度而定。
呢两日你觉点呀	这两天你觉得怎样? 
细路仔唔觉冷嘅	小孩子不觉得冷的。
唔觉意打烂咗	不留神打坏了。
放喺呢度太觉眼喇	放在这里太显眼了。
我唔觉眼，冇见佢	我没注意，没有见他。
快啲觉觉猪啦	快点睡觉觉吧
重唔觉觉猪呀	还不睡觉觉呀!
有人入嚟你都冇觉醒咩	有人进来你都没有觉察吗?
扫把放喺角落头	扫帚放在屋角。
呢个字点解呀	这个字怎么解释?
你噉做有乜解究呀	你这样做有什么理由?
咪詏嘞，到现场睇下啦	别争论了，到现场看看吧
事情已经好清楚，冇乜好詏嘅	事情已经很清楚，没什么可争辩的。
佢写嘅诗真詏口	他写的诗念起来真绕嘴。
以前有过詏撬都要合作	以前有过矛盾的也要合作。
数清楚啲，费事以后詏数口	数清楚些，免得以后争论。
为咁小事詏气真系冇益嘅	为这么一点小事斗气真划不来。
佢专同我詏颈	他专门跟我抬杠。
呢个仔好詏颈	这孩子脾气很拗。
系就系，唔系就唔系，誓愿都冇用	是就是，不是就不是，发誓也没有用。
谂计	想办法
计数	算账
计一下睇几多钱	算一下，看多少钱。
计我睇今年会增产	照我看今年会增产
计你话点好吖	依你说怎么好呢?
任你点都得，佢冇计带嘅	随你怎么都成，他不会计较的
你讲乜我都唔计带	你说什么我也不在意
你唔好计带呀	你不要介意啊。
计我话重系参加好	依我看还是参加好。
计正佢唔应该噉做	按理说他不应该这样做
计正佢唔使出钱嘅	本来他是不必出钱的。
比过至知，咁容易认低威嘅咩	比赛过才知道( 谁胜谁负) ，这么容易就服输了么?
你唔使认叻，嚟试一下啦	你不用逞强，来试试看吧。
唔好认衰仔呀	不要自甘堕落啊。
咁大个仔出门，你唔使记挂佢嘅	那么大的孩子出门，你不必惦着他。
我把刀有记认嘅	我的刀是有记号的。
你唔好讲假呃我	你不要说假话骗我。
讲到尾，你重系唔去好	说到底你还是不去为好。
讲到话佢呢，唔使理都得咯	至于他，不必管也可以了
讲到话呢件事，我系唔同意嘅	至于这件事，我是不同意的。
要完成唔系讲咁易㗎	要完成不是说说那么容易的
你以为讲咁易呀	你以为很容易吗?
咪讲喇，讲多错多	别说了，越说越错。
唔好讲大话呃人	不要说谎骗人。
讲实几多钱一斤	说好多少钱一斤。
讲心嗰句，我唔赞成你去	说实在话，我不赞成你去。
等我同个老板讲数先	先让我跟老板谈好条件。
我系同你讲真㗎	我是跟你讲认真的
呢次要讲真至得嘞	这次要说真格的才行。
你要我去摸摸嗰条鳄鱼，讲笑揾第样嘞	你让我去摸一下那条鳄鱼，你别开玩笑啦?
佢讲话要你快啲翻去㖞 	他说要你快点回去
你大佬讲话佢唔得闲	你哥哥说的是他没空。
佢讲话有骨，大家听咗唔舒服	他话中带刺儿，大家听了不舒服
我睇佢讲话有骨	我看他话中有话。
佢三岁至会讲说话	他三岁才会说话。
讲起又讲吖，系佢唔啱嘅	依我说，是他的不对。
我唔怕人哋讲闲话	我不怕别人背后议论。
咁论尽，成盆水倒泻晒	真是笨手笨脚，整盆水都给洒了
真论尽，又唔记得带嚟	真马大哈，又忘了带来。
拎住咁多嘢搭车，太论尽喇	拿着那么多东西坐车，太不方便了
叫佢带把遮都嫌论尽	叫他带把伞都嫌累赘。
设若有顺风车，你去吗	假如有顺车，你去吗?
我识佢	我认识他
又识游水又识打波	又会游泳又会打球。
喺呢方面佢好识做嘅	在这方面他是很懂人情世故的。
呢件事你识做㗎啦	这件事你知道怎么做了吧?
噉就睇你识唔识嘢嘞	这就看你懂不懂事喽。
都系你识嘢	还是你识货。
佢屋企我唔识定	他家我不知道在哪里
大家识定嘅啦	大家都知道地点了吧?
你就识得食	你就懂得吃。
识穿敌人嘅阴谋	识破敌人的阴谋。
